STATE,STATE Name,CNTY,CNTY Name,Deleted,Valid Until,Type
02,Aomori / 青森,02004,Shimokita / 下北,false,,Gun
02,Aomori / 青森,02005,Nakatsugaru / 中津軽,false,,Gun
02,Aomori / 青森,02006,Nishitsugaru / 西津軽,false,,Gun
02,Aomori / 青森,02007,Higashitsugaru / 東津軽,false,,Gun
02,Aomori / 青森,02008,Minamitsugaru / 南津軽,false,,Gun
02,Aomori / 青森,0201,Aomori / 青森,false,,City
02,Aomori / 青森,0202,Hirosaki / 弘前,false,,City
02,Aomori / 青森,0203,Hachinohe / 八戸,false,,City
02,Aomori / 青森,0204,Kuroishi / 黒石,false,,City
02,Aomori / 青森,0205,Goshogawara / 五所川原,false,,City
02,Aomori / 青森,0206,Towada / 十和田,false,,City
02,Aomori / 青森,0207,Misawa / 三沢,false,,City
02,Aomori / 青森,0208,Mutsu / むつ,false,,City
02,Aomori / 青森,0209,Tsugaru / つがる,false,,City
02,Aomori / 青森,0210,Hirakawa / 平川,false,,City
03,Iwate / 岩手,03001,Isawa / 胆沢,false,,Gun
03,Iwate / 岩手,03002,Iwate / 岩手,false,,Gun
03,Iwate / 岩手,03003,Esashi / 江刺,true,"Nov.2,1958",Gun
03,Iwate / 岩手,03004,Kamihei / 上閉伊,false,,Gun
03,Iwate / 岩手,03005,Kunohe / 九戸,false,,Gun
03,Iwate / 岩手,03006,Kesen / 気仙,false,,Gun
03,Iwate / 岩手,03007,Shimohei / 下閉伊,false,,Gun
03,Iwate / 岩手,03008,Shiwa / 紫波,false,,Gun
03,Iwate / 岩手,03009,Nishiiwai / 西磐井,false,,Gun
03,Iwate / 岩手,0301,Morioka / 盛岡,false,,City
03,Iwate / 岩手,03010,Ninohe / 二戸,false,,Gun
03,Iwate / 岩手,03011,Hienuki / 稗貫,true,"Dec.31,2005",Gun
03,Iwate / 岩手,03012,Higashiiwai / 東磐井,true,"Sep.25,2011",Gun
03,Iwate / 岩手,03013,Waga / 和賀,false,,Gun
03,Iwate / 岩手,0302,Kamaishi / 釜石,false,,City
03,Iwate / 岩手,0303,Miyako / 宮古,false,,City
03,Iwate / 岩手,0304,Ichinoseki / 一関,false,,City
03,Iwate / 岩手,0305,Ofunato / 大船渡,false,,City
03,Iwate / 岩手,0306,Mizusawa / 水沢,true,"Feb.19,2006",City
03,Iwate / 岩手,0307,Hanamaki / 花巻,false,,City
03,Iwate / 岩手,0308,Kitakami / 北上,false,,City
03,Iwate / 岩手,0309,Kuji / 久慈,false,,City
03,Iwate / 岩手,0310,Tono / 遠野,false,,City
03,Iwate / 岩手,0311,Rikuzentakata / 陸前高田,false,,City
03,Iwate / 岩手,0312,Esashi / 江刺,true,"Feb.19,2006",City
03,Iwate / 岩手,0313,Ninohe / 二戸,false,,City
03,Iwate / 岩手,0314,Hachimantai / 八幡平,false,,City
03,Iwate / 岩手,0315,Oshu / 奥州,false,,City
03,Iwate / 岩手,0316,Takizawa / 滝沢,false,,City
04,Akita / 秋田,04001,Ogachi / 雄勝,false,,Gun
04,Akita / 秋田,04002,Kazuno / 鹿角,false,,Gun
04,Akita / 秋田,04003,Kawabe / 河辺,true,"Jan.10,2005",Gun
04,Akita / 秋田,04004,Kitaakita / 北秋田,false,,Gun
04,Akita / 秋田,04005,Semboku / 仙北,false,,Gun
04,Akita / 秋田,04006,Hiraka / 平鹿,true,"Sep.30,2005",Gun
04,Akita / 秋田,04007,Minamiakita / 南秋田,false,,Gun
04,Akita / 秋田,04008,Yamamoto / 山本,false,,Gun
04,Akita / 秋田,04009,Yuri / 由利,true,"Sep.30,2005",Gun
04,Akita / 秋田,0401,Akita / 秋田,false,,City
04,Akita / 秋田,0402,Noshiro / 能代,false,,City
04,Akita / 秋田,0403,Odate / 大館,false,,City
04,Akita / 秋田,0404,Yokote / 横手,false,,City
04,Akita / 秋田,0405,Honjo / 本荘,true,"Mar.21,2005",City
04,Akita / 秋田,0406,Oga / 男鹿,false,,City
04,Akita / 秋田,0407,Yuzawa / 湯沢,false,,City
04,Akita / 秋田,0408,Omagari / 大曲,true,"Mar.21,2005",City
04,Akita / 秋田,0409,Kazuno / 鹿角,false,,City
04,Akita / 秋田,0410,Yurihonjo / 由利本荘,false,,City
04,Akita / 秋田,0411,Katagami / 潟上,false,,City
04,Akita / 秋田,0412,Daisen / 大仙,false,,City
04,Akita / 秋田,0413,Kitaakita / 北秋田,false,,City
04,Akita / 秋田,0414,Nikaho / にかほ,false,,City
04,Akita / 秋田,0415,Senboku / 仙北,false,,City
05,Yamagata / 山形,05001,Akumi / 飽海,false,,Gun
05,Yamagata / 山形,05002,Kitamurayama / 北村山,false,,Gun
05,Yamagata / 山形,05003,Nishiokitama / 西置賜,false,,Gun
05,Yamagata / 山形,05004,Nishitagawa / 西田川,true,"Sep.30,2005",Gun
05,Yamagata / 山形,05005,Nishimurayama / 西村山,false,,Gun
05,Yamagata / 山形,05006,Higashiokitama / 東置賜,false,,Gun
05,Yamagata / 山形,05007,Higashitagawa / 東田川,false,,Gun
05,Yamagata / 山形,05008,Higashimurayama / 東村山,false,,Gun
05,Yamagata / 山形,05009,Minamiokitama / 南置賜,true,"Mar.31,1958",Gun
05,Yamagata / 山形,0501,Yamagata / 山形,false,,City
05,Yamagata / 山形,05010,Minamimurayama / 南村山,true,"Mar.20,1957",Gun
05,Yamagata / 山形,05011,Mogami / 最上,false,,Gun
05,Yamagata / 山形,0502,Yonezawa / 米沢,false,,City
05,Yamagata / 山形,0503,Tsuruoka / 鶴岡,false,,City
05,Yamagata / 山形,0504,Sakata / 酒田,false,,City
05,Yamagata / 山形,0505,Shinjo / 新庄,false,,City
05,Yamagata / 山形,0506,Sagae / 寒河江,false,,City
05,Yamagata / 山形,0507,Kaminoyama / 上山,false,,City
05,Yamagata / 山形,0508,Murayama / 村山,false,,City
05,Yamagata / 山形,0509,Nagai / 長井,false,,City
05,Yamagata / 山形,0510,Tendo / 天童,false,,City
05,Yamagata / 山形,0511,Higashine / 東根,false,,City
05,Yamagata / 山形,0512,Obanazawa / 尾花沢,false,,City
05,Yamagata / 山形,0513,Nan'yo / 南陽,false,,City
06,Miyagi / 宮城,06001,Igu / 伊具,false,,Gun
06,Miyagi / 宮城,06002,Oshika / 牡鹿,false,,Gun
06,Miyagi / 宮城,06003,Katta / 刈田,false,,Gun
06,Miyagi / 宮城,06004,Kami / 加美,false,,Gun
06,Miyagi / 宮城,06005,Kurihara / 栗原,true,"Mar.31,2005",Gun
